Caption,Image Link 1,Image Link 2,Image Link 3,Image Link 4,Image Link 5,Image Link 6,Image URLs,Likes,Media Count,Number of Comments,Post Owner
"Women Dressing Women: The 37 Female Designers Changing the Way We See Fashion Now, feature in @voguemagazine by Nicole Phelps

Photography by Tess Ayano
Text by José Criales-Unzueta
Fashion Editor: Jasmine Hassett",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3313542231414715300_17952249.jpg,,,,,,,817,1,12,bode
"Bode Recreation
FW24",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3312911972646770569_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3312911972638368318_17952249.jpg,,,,,,1069,2,6,bode
Worth Street shop,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3310775388971248588_17952249.jpg,,,,,,,1130,1,2,bode
"Bode Recreation
FW24",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3309961721098708406_17952249.jpg,,,,,,,6765,1,7,bode
"New men’s and women’s styles from the SS24 collection, The Crane Estate II, are now available online.

Pictured above is the Discount Taxi Tee which is appliquéd with assorted patches.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3309178098166672306_17952249.jpg,,,,,,,1653,1,7,bode
"LA! Join Emily Adams Bode Aujla in conversation with Tyler Mitchell 

On the occasion of The World of Interiors feature “Material Evidence” in the March 2024 Issue.

Bode Los Angeles
7007 Melrose Avenue
Los Angeles, CA 90038

Thursday, February 29th, 2024
6:00pm-8:00pm
Talk at 6:30pm

rsvp@bode.com",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3308496831427252566_17952249.jpg,,,,,,,983,1,7,bode
"Bode Recreation
FW24",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3307865751557123247_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3307865751557007406_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3307865751422973626_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3307865751422820388_17952249.jpg,,,,1419,4,5,bode
"The Dotted Appliqué Long Sleeve Shirt is inspired by an antique clown costume, circa 1925. It features colorful oversized dots and frog closures appliquéd on a cotton twill ground. Also available as trousers online and in our New York and Los Angeles stores.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3307766104675051120_17952249.jpg,,,,,,,8969,1,24,bode
"Bode Recreation
FW24",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3307126865457424207_17952249.jpg,,,,,,,2753,1,15,bode
Hannah trying on collection styles at the shop.,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3306360663592218124_17952249.mp4,,,,,,,2398,1,16,bode
"Bode Recreation
FW24",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3306360352182069609_17952249.jpg,,,,,,,767,1,4,bode
Worth Street shop today 🦢,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3305679225893026960_17952249.jpg,,,,,,,750,1,2,bode
"Bode Recreation
FW24",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3305556319154048719_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3305556319145749178_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3305556319137298761_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3305556319137208600_17952249.jpg,,,,4049,4,6,bode
"“But the room that seems to represent the most change in the couple’s life is the baby’s.  In it, an embroidered daybed faces a wicker bassinet, which is draped with an antique lace skirt and hood. The windows overlook the playhouse that Shinn built in the property’s back garden over a century ago. Emily is obsessed with labelling the infant’s clothing, sorting through family heirlooms, and vintage or antique pieces that she has collected over the decades. After all, this moment marks a new chapter in the couple’s lives – when their family histories are now permanently joined. ‘My mom saved all our childhood clothes,’ she says. ‘I always found clothing and objects – especially from past generations – incredibly inspiring to me. I know not everybody feels that way, but that was what drove me.’’ — @thessaly for @theworldofinteriors March issue, photography by @tylersphotos 

A menagerie of @steiff_official animals from family and friends sits in our baby’s bassinet, shaded by antique lace and guarded by a papier-mâché stork, a 1920s advertising prop. The wall behind is lined with c1907 porch blind.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3304900856528029451_17952249.jpg,,,,,,,3594,1,29,bode
Omer & Hannah at the women’s store ❣️,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3304800878631489344_17952249.jpg,,,,,,,2330,1,24,bode
"The Mitsy Coat is made in France of 100% camel hair. Its double-breasted silhouette features wide, notched lapels referencing topcoats of the 1940s.

Only two pieces remaining, online and at the Bode Men’s Store at 58 Hester Street, NYC. (929) 810-7609",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3304277431681936114_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3304277431539352643_17952249.jpg,,,,,,2762,2,21,bode
"Material Evidence feature in The World of Interiors by Thessaly La Force.

“A procession of French animal terrines bought in Paris, a trio of photographs from the Indian state of Himachal Pradesh and the owners’ drinks bar all find a home in this alcove, which is topped with a pelmet of antique chintz.”

The pelmet is a hand-stitched chintz block print circa 1850 from France. In the right corner is a Savoie region pitcher circa 1890s, hydrangeas from our house outside the city, and a grouping of celluloid storks. I collected celluloid storks from the 1930s-1950s leading up to the birth of our baby girl. I used them at my baby shower and in and around the home, where they landed at here at the bar.

Photography by Tyler Mitchell",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3304187094762313295_17952249.jpg,,,,,,,2418,1,13,bode
"Bode Recreation
FW24",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3304149478532524780_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3304149478448778523_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3304149478448773441_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3304149478448773331_17952249.jpg,,,,2427,4,6,bode
Thank you to everyone who joined us on Valentine’s Day! ❣️I had a wonderful time talking about @theworldofinteriors with the talented @thessaly - thank you @hamishbowles and @tylersphotos for the beautiful feature and photography. March issue is on newsstands now!,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3303461579340417386_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3303461579197901358_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3303461579197819294_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3303461579189510061_17952249.jpg,,,,2352,4,12,bode
The Bode Women’s Store will close today at 4:00pm for a private event. We will reopen on Thursday February 15th at 11:00am.,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3302677784341238732_17952249.jpg,,,,,,,2481,1,3,bode
"Bode Recreation
FW24",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3302007831007207944_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3302007831007167259_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3302007830906626606_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3302007830906596394_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3302007830898144002_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3302007830898126338_17952249.jpg,,1394,6,8,bode
Dozens of new vintage and antique objects have been added to the Lovers Bazaar which continues through today and tomorrow at 54 & 58 Hester Street. 11:00am-7:00pm 💕,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3301953345781523634_17952249.jpg,,,,,,,754,1,1,bode
"Bode Recreation
FW24",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3301299224443868902_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3301299224443667055_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3301299224292705024_17952249.jpg,,,,,3116,3,3,bode
"Join Emily Adams Bode Aujla in conversation with Thessaly La Force

On the occasion of The World of Interiors feature “Material Evidence” in the March 2024 Issue.

Bode Women’s Store
79 Worth Street
New York, NY 10013

Wednesday, February 14th, 2024
6:00pm-8:00pm
Talk at 6:30pm

rsvp@bode.com",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3301231042600955131_17952249.jpg,,,,,,,528,1,8,bode
"The Lovers Bazaar continues through February 14th❣️Shop miniature shirts, sequined bow barrettes, and brooches alongside an assortment of objects from Green River Project LLC, antique table linens and jewelry. 11:00am-7:00pm daily at 54 & 58 Hester Street.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3300481213251793969_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3300481213251786696_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3300481213243580283_17952249.jpg,,,,,1369,3,4,bode
Marie wears the Sequin Worcester Coat and Sequin Swell Tunic. A few pieces remaining online and at our Worth Street and Melrose Avenue stores.,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3299819091278863067_17952249.jpg,,,,,,,1618,1,5,bode
"Bode Recreation
FW24",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3299762670013158770_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3299762669979683712_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3299762669904170868_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3299762669904046242_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3299762669895680723_17952249.jpg,,,3307,5,13,bode
I made an ivory sequin bow for my dear friend’s wedding in January…and now we made a few more colors for Valentine’s Day.❣️The Emma Bow now available at the women’s store.,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3299073458615993480_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3299073458599302641_17952249.jpg,,,,,,4007,2,22,bode
The 1st Annual Lovers Bazaar is underway at our Hester Street stores❣️Explore an assortment of vintage and antique objects and home goods from the Bode archive alongside jewelry and accessories perfect for gifting. February 8th-14th at Bode (54 & 58 Hester Street) 11:00am-7:00pm daily.,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3298392554038276545_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3298392554029807042_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3298392553904063713_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3298392553904038372_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3298392553903909654_17952249.jpg,,,2007,5,6,bode
"Kaia Gerber wearing the Crane Shag Shearling Coat in St. Moritz. Available online and at the Bode Women’s Store located at 79 Worth Street, New York City.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3298274307405835660_17952249.jpg,,,,,,,5774,1,22,bode
"Bode Recreation
FW24",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3297663645348967081_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3297663645332128107_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3297663645197840121_17952249.jpg,,,,,2219,3,10,bode
"Bode Recreation
FW24",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3296869941759401860_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3296869941750910016_17952249.jpg,,,,,,2087,2,8,bode
"💕Bode’s 1st Annual Lovers Bazaar

Objects of affection selected by Emily Adams Bode Aujla. 

February 8th-14th at Bode (54 & 58 Hester Street) 11:00am-7:00pm daily🩷💕",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3296265412739414135_17952249.jpg,,,,,,,4568,1,21,bode
"Bode Recreation
FW24",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3295426244328829250_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3295426244320655012_17952249.jpg,,,,,,1625,2,8,bode
"Congratulations to the most talented Gracie Abrams, nominated for Best New Artist at tomorrow’s Grammy Awards.

Gracie is wearing the Numerals Suit Jacket from the men’s collection, and the Tuxedo Braid Murray Trousers, Mohair Waistcoat, and Voile Murray Shirt from the women’s collection.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3294709324680059543_17952249.jpg,,,,,,,6487,1,25,bode
"Bode Recreation
FW24",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3294003456326153558_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3294003456326071391_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3294003456326037181_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3294003456258990854_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3294003456250535790_17952249.jpg,,,3473,5,9,bode
"Bode Recreation
FW24",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3291825914827695404_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3291825914651407252_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3291825914643172529_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3291825914634699649_17952249.jpg,,,,2239,4,10,bode
"Bode Recreation
FW24",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3291104342991141319_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3291104342990986981_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3291104342982769475_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3291104342923869248_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3291104342907057230_17952249.jpg,,,1972,5,3,bode
"Fellow native Georgian and Baltimore Ravens linebacker Roquan Smith in full Bode, including a custom purple Double Breasted Cardigan with a hand embellished No. 1 appliqué, an ode to Smith’s high school football number. 💜",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3290456325774789618_17952249.jpg,,,,,,,3860,1,38,bode
"Bode Recreation
FW24",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3290354199882818995_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3290354199874467717_17952249.jpg,,,,,,1650,2,7,bode
"New arrivals from the SS24 collection, The Crane Estate II, are now available in our New York and Los Angeles stores.

Pictured above is the Novelty Prose Cardigan. Hand-loomed by a woman-owned-and-operated network of artisans in Peru, the Merino wool cardigan features nursery rhyme motifs including a little dog laughing, a cat playing a fiddle, and a cow jumping over the moon.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3289672392908568580_17952249.jpg,,,,,,,2910,1,8,bode
"Bode Recreation
FW24",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3289606582290826964_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3289606582290766490_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3289606582290641933_17952249.jpg,,,,,2931,3,12,bode
The Embroidered Denim Knolly Brook Trousers and the Embroidered Denim Murray Trousers are made from medium-wash denim and feature red embroidered accents and a zig-zag pattern stitched along the waistband and hem. Available online and in our New York and Los Angeles stores.,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3288931834338707796_17952249.jpg,,,,,,,3198,1,17,bode
"Bode Recreation
FW24",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3288212930943510318_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3288212930867891673_17952249.jpg,,,,,,2329,2,6,bode
"Bode Recreation
FW24",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3287479239212364229_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3287479239145291325_17952249.jpg,,,,,,3755,2,20,bode
"Bode Recreation
FW24",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3286731276470993254_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3286731276395500481_17952249.jpg,,,,,,2479,2,7,bode
"Bode Recreation
FW24

“Lately, there’s been lots of conversations regarding the ways in which women designers approach making clothes for women; oftentimes, the focus is on the fact that they design for women’s ‘real lives’ meaning wearable, meaning comfortable, meaning suited for a wide range of bodies. Beyond all this, Bode Aujla is also tapping into women’s fantasies; their desire to wear beautiful and devastating things just for themselves. If anyone happens to join in their fun, well, that’s a bonus.”

Laia Garcia-Furtado for Vogue Runway",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3286091140343733626_17952249.jpg,,,,,,,2917,1,8,bode
"Bode Recreation
FW24

Bode Recreation expands Bode’s aesthetic world to include a range of objects and garments one might find packed in a gym bag or hung in a school locker room—items that could be worn on the way to an athletic club, during sport, or to dinner afterward.

The Numerals Suit Jacket references a hand-adorned suit from the 1940s and is appliquéd with aluminum numbers on each of the four front pockets. Here it is paired with the Mohair Smoking Trouser, the Starry Long Sleeve Shirt, and the Bode Patent Opera Pumps.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3286011180081704102_17952249.jpg,,,,,,,1735,1,12,bode
"The first installment of our SS24 collection, The Crane Estate II, is now online and in our New York and Los Angeles stores.

The collection introduces four new colors of the Alpine Pullover, which is made of a mohair-alpaca blend and features a lace-up neckline and a boxy silhouette.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3283806754562388761_17952249.jpg,,,,,,,8264,1,25,bode
"Bode Recreation
FW24",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3283079544205501100_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3283079544155311533_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3283079544146970155_17952249.jpg,,,,,2283,3,9,bode
"Bode Recreation
FW24",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3282541316017146991_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3282541315949883331_17952249.jpg,,,,,,3933,2,11,bode
"Bode Recreation
FW24",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3281672562127118877_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3281672562126913019_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3281672562118605469_17952249.jpg,,,,,1617,3,8,bode
"Bode Recreation
FW24",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3280908218531552293_17952249.jpg,,,,,,,1887,1,11,bode
"Bode Recreation
FW24",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3280241652802432475_17952249.jpg,,,,,,,2162,1,7,bode
"Bode Recreation
FW24",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3279513180102613097_17952249.jpg,,,,,,,6171,1,26,bode
"The FW24 collection, Bode Recreation, is now available to preview on Vogue Runway. Review by Laia Garcia-Furtado

“For fall 2024, Emily Adams Bode Aujla is introducing a new line with a sportswear bend called Bode Recreation. ‘It’s our interpretation of American athletic wear, largely inspired from the 1770s through the 1970s, and it’s the first time that we’re introducing certain materials more focused on washability and wearability,’ she said at the label’s sprawling new headquarters in lower Manhattan.”

Photography by Cerruti and Draime
Styling by George Cortina
Casting by Midland Agency
Makeup by Tomomi Gonzalez
Hair by Kiyonori Sudo

Thank you to our entire Bode team.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3278771418245597222_17952249.jpg,,,,,,,3261,1,8,bode
"Bode Recreation explores the evolution of athletic wear and character-building through the lens of American institutional sport and competition. The Fall 2024 collection reimagines leisure and athletic apparel from the 1770s-1970s and speaks to the American commitment to sports and recreation as vital to our understanding of virtue, community, and national history.

Davóne Tines performs “America The Beautiful”

Bode Recreation collection lookbook will be released on January 12th, 2024.

Visit bode.com to sign up for updates.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3278077659644107630_17952249.mp4,,,,,,,2977,1,25,bode
"Details of the interior at the Bode Women’s Store, designed by Green River Project (@greenriverprojectllc). The store is located in TriBeCa at 79 Worth Street and is open daily from 11:00am-7:00pm.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3272262280711532329_17952249.jpg,,,,,,,894,1,6,bode
"Happy New Year!

Bode SS24
The Crane Estate II",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3270825942271645659_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3270825942263219447_17952249.jpg,,,,,,6333,2,17,bode
"The Doodle Crewneck is inspired by a vest my aunt owned in the 1970s. The original vest featured an abstract doodle in chain-stitched embroidery. We have recreated the original doodle on a 100% cashmere base, made in Italy. Available in men’s and women’s silhouettes, online and in our New York and Los Angeles stores.

All Bode stores will close at 5:00pm today and will reopen at 11:00am on January 2nd.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3270097264579388692_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3270097264512225497_17952249.jpg,,,,,,2882,2,9,bode
"Bode SS24
The Crane Estate II",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3268599364938591419_17952249.jpg,,,,,,,1558,1,3,bode
"The Winter Stallion Jacket at the Bode Women’s Store, located at 79 Worth Street in TriBeCa, New York. Also available online and at Bode Los Angeles, 7007 Melrose Avenue. Both stores are open from 11am-7pm daily.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3267172123415331158_17952249.jpg,,,,,,,6672,1,34,bode
"Bode SS24
The Crane Estate II",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3266476718130114553_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3266476718130102359_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3266476718121667890_17952249.jpg,,,,,4171,3,11,bode
Happy Holidays from all of us at Bode! 🎄Our collection dress revives the historic tradition of dressing like a tree!,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3265726703442988670_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3265726703442873356_17952249.jpg,,,,,,18964,2,49,bode
All Bode stores will be open from 11:00am-5:00pm today. We will be closed December 25th and will reopen on December 26th.,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3264967757715269204_17952249.jpg,,,,,,,1031,1,0,bode
"The Arbane Tuxedo is embellished with sequined appliqués of stars, grape bunches, and Bode champagne bottles. Available online and in our New York and Los Angeles stores.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3264305052138517630_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3264305052071333716_17952249.jpg,,,,,,3252,2,15,bode
